Compound_Name,Type,Area,Price_EGP,Reference_No,Bedrooms,Bathrooms,Delivery,Finishing,Delivery,URL
Telal East in New Cairo by Roya Developments,Apartment,103,7954700,107845,2,2,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1630-selection/property/107845-Apartment-for-sale-in-Selection%20-%20Telal%20East-with-21-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,233,14614000,51601,3,3,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/51601-duplex-for-sale-in-telal-east-new-cairo
Telal East in New Cairo by Roya Developments,Villa,472,None,107860,6,9,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/107860-Villa-for-sale-in-Prive%20-%20Telal%20East-with-1-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Apartment,116,8011100,107847,2,2,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1630-selection/property/107847-Apartment-for-sale-in-Selection%20-%20Telal%20East-with-21-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,287,11287250,56032,3,3,2026,semi-finished,2026-05-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/56032-sky-villa-for-sale-in-telal-east-new-cairo
Telal East in New Cairo by Roya Developments,Villa,354,34493500,108086,4,6,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/108086-Villa-for-sale-in-Prive%20-%20Telal%20East-with-1-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Apartment,129,7693600,107849,3,3,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1630-selection/property/107849-Apartment-for-sale-in-Selection%20-%20Telal%20East-with-21-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,282,11285250,56034,3,3,2026,semi-finished,2026-05-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/56034-sky-villa-for-sale-in-telal-east-new-cairo
Telal East in New Cairo by Roya Developments,Townhouse,229,24537600,108088,4,5,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/108088-Townhouse-for-sale-in-Prive%20-%20Telal%20East-with-7-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Apartment,110,8054500,109252,2,2,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1630-selection/property/109252-Apartment-for-sale-in-Selection%20-%20Telal%20East-with-21-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Villa,233,11183520,57144,3,3,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/57144-garden-villa-for-sale-in-telal-east-new-cairo
Telal East in New Cairo by Roya Developments,Villa,253,23920000,109262,4,4,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/109262-Villa-for-sale-in-Prive%20-%20Telal%20East-with-1-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Apartment,205,19066782,14527,4,4,Delivered,Finished,2022-05-15T00:00:00.000Z,https://www.nawy.com/compound/711-green-5/property/14527-green-5-sheikh-zayed-apartment-4-bedrooms-for-sale
Telal East in New Cairo by Roya Developments,Villa,900,None,16177,9,9,Delivered,Finished,2022-06-22T00:00:00.000Z,https://www.nawy.com/compound/189-zizinia-gardens/property/16177-zizinia-new-cairo-villa-9-bedrooms-for-sale
Telal East in New Cairo by Roya Developments,Townhouse,600,80000000,23564,4,5,Delivered,Finished,2022-10-02T00:00:00.000Z,https://www.nawy.com/compound/50-katameya-dunes/property/23564-town-house-for-sale-in-katameya-dunes-new-cairo
Telal East in New Cairo by Roya Developments,Villa,350,None,39193,4,5,Delivered,Furnished,2023-08-09T00:00:00.000Z,https://www.nawy.com/compound/776-marina-1/property/39193-villa-for-sale-in-marina-2-north-coast
Telal East in New Cairo by Roya Developments,Villa,185,9250000,53850,3,3,Delivered,Finished,2024-04-30T00:00:00.000Z,https://www.nawy.com/compound/405-marseilia-beach-3/property/53850-villa-for-sale-in-marseilia-beach-3
Telal East in New Cairo by Roya Developments,Apartment,183,None,55349,3,3,Delivered,semi-finished,2024-05-22T00:00:00.000Z,https://www.nawy.com/compound/926-neopolis/property/55349-apartment-for-sale-in-neopolis-mostakbal-city
Telal East in New Cairo by Roya Developments,Apartment,145,None,62215,2,3,Delivered,Finished,2024-09-17T00:00:00.000Z,https://www.nawy.com/compound/639-diar-ii/property/62215-apartment-for-sale-in-diar-ll
Telal East in New Cairo by Roya Developments,Office,48,None,62438,N/A,N/A,2027,not finished,2027-06-29T00:00:00.000Z,https://www.nawy.com/compound/1214-the-grey/property/62438-office-for-sale-in-the-gray-in-new-cairo-by-housing-and-development-properties-hdp
Telal East in New Cairo by Roya Developments,Villa,242,13560000,64956,2,3,2026,not finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/972-the-wonder-marq/property/64956-villa-for-sale-in-the-wonder-marq
Telal East in New Cairo by Roya Developments,Apartment,129,9293200,109253,3,3,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1630-selection/property/109253-Apartment-for-sale-in-Selection%20-%20Telal%20East-with-21-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,282,18100000,61795,4,4,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/61795-ivilla-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Villa,300,28652500,109263,4,5,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/109263-Villa-for-sale-in-Prive%20-%20Telal%20East-with-1-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Apartment,110,7371000,109254,2,2,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1630-selection/property/109254-Apartment-for-sale-in-Selection%20-%20Telal%20East-with-21-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,233,18386000,61814,3,3,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/61814-ivilla-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Villa,453,37114400,109264,5,6,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/109264-Villa-for-sale-in-Prive%20-%20Telal%20East-with-1-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,310,11202394,62084,3,3,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/62084-sky-villa-for-sale-in-telal-east-new-cairo
Telal East in New Cairo by Roya Developments,Townhouse,219,None,109265,4,4,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/109265-Townhouse-for-sale-in-Prive%20-%20Telal%20East-with-7-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,287,10330000,62674,3,4,2027,semi-finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/62674-sky-villa-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Duplex,289,11502000,63738,3,4,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/63738-duplex-for-sale-in-telal-east-new-cairo
Telal East in New Cairo by Roya Developments,Duplex,280,12000000,65733,3,3,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/65733-sky-villa-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Apartment,119,8629500,65821,2,2,2028,not finished,2028-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/65821-apartment-for-sale-at-telal-east
Telal East in New Cairo by Roya Developments,Apartment,205,19066782,14527,4,4,Delivered,Finished,2022-05-15T00:00:00.000Z,https://www.nawy.com/compound/711-green-5/property/14527-green-5-sheikh-zayed-apartment-4-bedrooms-for-sale
Telal East in New Cairo by Roya Developments,Villa,900,None,16177,9,9,Delivered,Finished,2022-06-22T00:00:00.000Z,https://www.nawy.com/compound/189-zizinia-gardens/property/16177-zizinia-new-cairo-villa-9-bedrooms-for-sale
Telal East in New Cairo by Roya Developments,Townhouse,600,80000000,23564,4,5,Delivered,Finished,2022-10-02T00:00:00.000Z,https://www.nawy.com/compound/50-katameya-dunes/property/23564-town-house-for-sale-in-katameya-dunes-new-cairo
Telal East in New Cairo by Roya Developments,Villa,350,None,39193,4,5,Delivered,Furnished,2023-08-09T00:00:00.000Z,https://www.nawy.com/compound/776-marina-1/property/39193-villa-for-sale-in-marina-2-north-coast
Telal East in New Cairo by Roya Developments,Villa,185,9250000,53850,3,3,Delivered,Finished,2024-04-30T00:00:00.000Z,https://www.nawy.com/compound/405-marseilia-beach-3/property/53850-villa-for-sale-in-marseilia-beach-3
Telal East in New Cairo by Roya Developments,Apartment,183,None,55349,3,3,Delivered,semi-finished,2024-05-22T00:00:00.000Z,https://www.nawy.com/compound/926-neopolis/property/55349-apartment-for-sale-in-neopolis-mostakbal-city
Telal East in New Cairo by Roya Developments,Apartment,145,None,62215,2,3,Delivered,Finished,2024-09-17T00:00:00.000Z,https://www.nawy.com/compound/639-diar-ii/property/62215-apartment-for-sale-in-diar-ll
Telal East in New Cairo by Roya Developments,Office,48,None,62438,N/A,N/A,2027,not finished,2027-06-29T00:00:00.000Z,https://www.nawy.com/compound/1214-the-grey/property/62438-office-for-sale-in-the-gray-in-new-cairo-by-housing-and-development-properties-hdp
Telal East in New Cairo by Roya Developments,Villa,242,13560000,64956,2,3,2026,not finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/972-the-wonder-marq/property/64956-villa-for-sale-in-the-wonder-marq
Telal East in New Cairo by Roya Developments,Apartment,168,12175000,66138,3,3,2028,not finished,2028-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/66138-apartment-for-sale-at-telal-east
Telal East in New Cairo by Roya Developments,Duplex,233,11375000,70186,3,4,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/70186-duplex-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Penthouse,216,16200000,73169,3,3,2028,not finished,2028-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/73169-penthouse-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Duplex,233,16355000,73394,3,4,2028,not finished,2028-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/73394-duplex-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Townhouse,205,19200000,74210,3,3,2027,semi-finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/74210-townhouse-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Townhouse,262,15036240,74825,3,4,2026,not finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/74825-townhouse-for-sale-in-telal-east
