Compound_Name,Type,Project_Name,Location,Developer,Area,Price_EGP,Reference_No,Bedrooms,Bathrooms,Delivery,Finishing,Delivery.1,URL
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,103,"$7,954,700.00",107845.00,2,2,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1630-selection/property/107845-Apartment-for-sale-in-Selection%20-%20Telal%20East-with-21-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,Telal East,New Cairo,Roya Developments,233,"$14,614,000.00",51601.00,3,3,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/51601-duplex-for-sale-in-telal-east-new-cairo
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,472,"$36,605,512.24",107860.00,6,9,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/107860-Villa-for-sale-in-Prive%20-%20Telal%20East-with-1-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,116,"$8,011,100.00",107847.00,2,2,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1630-selection/property/107847-Apartment-for-sale-in-Selection%20-%20Telal%20East-with-21-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,Telal East,New Cairo,Roya Developments,287,"$11,287,250.00",56032.00,3,3,2026,semi-finished,2026-05-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/56032-sky-villa-for-sale-in-telal-east-new-cairo
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,354,"$34,493,500.00",108086.00,4,6,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/108086-Villa-for-sale-in-Prive%20-%20Telal%20East-with-1-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,129,"$7,693,600.00",107849.00,3,3,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1630-selection/property/107849-Apartment-for-sale-in-Selection%20-%20Telal%20East-with-21-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,Telal East,New Cairo,Roya Developments,282,"$11,285,250.00",56034.00,3,3,2026,semi-finished,2026-05-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/56034-sky-villa-for-sale-in-telal-east-new-cairo
Telal East in New Cairo by Roya Developments,Townhouse,Telal East,New Cairo,Roya Developments,229,"$24,537,600.00",108088.00,4,5,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/108088-Townhouse-for-sale-in-Prive%20-%20Telal%20East-with-7-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,110,"$8,054,500.00",109252.00,2,2,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1630-selection/property/109252-Apartment-for-sale-in-Selection%20-%20Telal%20East-with-21-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,233,"$11,183,520.00",57144.00,3,3,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/57144-garden-villa-for-sale-in-telal-east-new-cairo
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,253,"$23,920,000.00",109262.00,4,4,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/109262-Villa-for-sale-in-Prive%20-%20Telal%20East-with-1-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,205,"$19,066,782.00",14527.00,4,4,Delivered,Finished,2022-05-15T00:00:00.000Z,https://www.nawy.com/compound/711-green-5/property/14527-green-5-sheikh-zayed-apartment-4-bedrooms-for-sale
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,900,"$69,798,646.23",16177.00,9,9,Delivered,Finished,2022-06-22T00:00:00.000Z,https://www.nawy.com/compound/189-zizinia-gardens/property/16177-zizinia-new-cairo-villa-9-bedrooms-for-sale
Telal East in New Cairo by Roya Developments,Townhouse,Telal East,New Cairo,Roya Developments,600,"$80,000,000.00",23564.00,4,5,Delivered,Finished,2022-10-02T00:00:00.000Z,https://www.nawy.com/compound/50-katameya-dunes/property/23564-town-house-for-sale-in-katameya-dunes-new-cairo
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,350,"$27,143,917.98",39193.00,4,5,Delivered,Furnished,2023-08-09T00:00:00.000Z,https://www.nawy.com/compound/776-marina-1/property/39193-villa-for-sale-in-marina-2-north-coast
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,185,"$9,250,000.00",53850.00,3,3,Delivered,Finished,2024-04-30T00:00:00.000Z,https://www.nawy.com/compound/405-marseilia-beach-3/property/53850-villa-for-sale-in-marseilia-beach-3
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,183,"$23,109,654.45",55349.00,3,3,Delivered,semi-finished,2024-05-22T00:00:00.000Z,https://www.nawy.com/compound/926-neopolis/property/55349-apartment-for-sale-in-neopolis-mostakbal-city
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,145,"$18,310,928.39",62215.00,2,3,Delivered,Finished,2024-09-17T00:00:00.000Z,https://www.nawy.com/compound/639-diar-ii/property/62215-apartment-for-sale-in-diar-ll
Telal East in New Cairo by Roya Developments,Office,Telal East,New Cairo,Roya Developments,48,"$12,475,510.33",62438.00,3,2,2027,not finished,2027-06-29T00:00:00.000Z,https://www.nawy.com/compound/1214-the-grey/property/62438-office-for-sale-in-the-gray-in-new-cairo-by-housing-and-development-properties-hdp
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,242,"$13,560,000.00",64956.00,2,3,2026,not finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/972-the-wonder-marq/property/64956-villa-for-sale-in-the-wonder-marq
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,129,"$9,293,200.00",109253.00,3,3,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1630-selection/property/109253-Apartment-for-sale-in-Selection%20-%20Telal%20East-with-21-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,Telal East,New Cairo,Roya Developments,282,"$18,100,000.00",61795.00,4,4,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/61795-ivilla-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,300,"$28,652,500.00",109263.00,4,5,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/109263-Villa-for-sale-in-Prive%20-%20Telal%20East-with-1-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,110,"$7,371,000.00",109254.00,2,2,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1630-selection/property/109254-Apartment-for-sale-in-Selection%20-%20Telal%20East-with-21-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,Telal East,New Cairo,Roya Developments,233,"$18,386,000.00",61814.00,3,3,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/61814-ivilla-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,453,"$37,114,400.00",109264.00,5,6,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/109264-Villa-for-sale-in-Prive%20-%20Telal%20East-with-1-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,Telal East,New Cairo,Roya Developments,310,"$11,202,394.00",62084.00,3,3,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/62084-sky-villa-for-sale-in-telal-east-new-cairo
Telal East in New Cairo by Roya Developments,Townhouse,Telal East,New Cairo,Roya Developments,219,"$18,517,434.95",109265.00,4,4,2029,Finished,2029-11-30T00:00:00.000Z,https://www.nawy.com/compound/1860-prive-telal-east/property/109265-Townhouse-for-sale-in-Prive%20-%20Telal%20East-with-7-bedrooms-in-New%20Cairo-by-Roya%20Developments
Telal East in New Cairo by Roya Developments,Duplex,Telal East,New Cairo,Roya Developments,287,"$10,330,000.00",62674.00,3,4,2027,semi-finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/62674-sky-villa-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Duplex,Telal East,New Cairo,Roya Developments,289,"$11,502,000.00",63738.00,3,4,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/63738-duplex-for-sale-in-telal-east-new-cairo
Telal East in New Cairo by Roya Developments,Duplex,Telal East,New Cairo,Roya Developments,280,"$12,000,000.00",65733.00,3,3,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/65733-sky-villa-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,119,"$8,629,500.00",65821.00,2,2,2028,not finished,2028-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/65821-apartment-for-sale-at-telal-east
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,205,"$19,066,782.00",14527.00,4,4,Delivered,Finished,2022-05-15T00:00:00.000Z,https://www.nawy.com/compound/711-green-5/property/14527-green-5-sheikh-zayed-apartment-4-bedrooms-for-sale
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,900,"$69,798,646.23",16177.00,9,9,Delivered,Finished,2022-06-22T00:00:00.000Z,https://www.nawy.com/compound/189-zizinia-gardens/property/16177-zizinia-new-cairo-villa-9-bedrooms-for-sale
Telal East in New Cairo by Roya Developments,Townhouse,Telal East,New Cairo,Roya Developments,600,"$80,000,000.00",23564.00,4,5,Delivered,Finished,2022-10-02T00:00:00.000Z,https://www.nawy.com/compound/50-katameya-dunes/property/23564-town-house-for-sale-in-katameya-dunes-new-cairo
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,350,"$27,143,917.98",39193.00,4,5,Delivered,Furnished,2023-08-09T00:00:00.000Z,https://www.nawy.com/compound/776-marina-1/property/39193-villa-for-sale-in-marina-2-north-coast
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,185,"$9,250,000.00",53850.00,3,3,Delivered,Finished,2024-04-30T00:00:00.000Z,https://www.nawy.com/compound/405-marseilia-beach-3/property/53850-villa-for-sale-in-marseilia-beach-3
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,183,"$23,109,654.45",55349.00,3,3,Delivered,semi-finished,2024-05-22T00:00:00.000Z,https://www.nawy.com/compound/926-neopolis/property/55349-apartment-for-sale-in-neopolis-mostakbal-city
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,145,"$18,310,928.39",62215.00,2,3,Delivered,Finished,2024-09-17T00:00:00.000Z,https://www.nawy.com/compound/639-diar-ii/property/62215-apartment-for-sale-in-diar-ll
Telal East in New Cairo by Roya Developments,Office,Telal East,New Cairo,Roya Developments,48,"$12,475,510.33",62438.00,3,2,2027,not finished,2027-06-29T00:00:00.000Z,https://www.nawy.com/compound/1214-the-grey/property/62438-office-for-sale-in-the-gray-in-new-cairo-by-housing-and-development-properties-hdp
Telal East in New Cairo by Roya Developments,Villa,Telal East,New Cairo,Roya Developments,242,"$13,560,000.00",64956.00,2,3,2026,not finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/972-the-wonder-marq/property/64956-villa-for-sale-in-the-wonder-marq
Telal East in New Cairo by Roya Developments,Apartment,Telal East,New Cairo,Roya Developments,168,"$12,175,000.00",66138.00,3,3,2028,not finished,2028-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/66138-apartment-for-sale-at-telal-east
Telal East in New Cairo by Roya Developments,Duplex,Telal East,New Cairo,Roya Developments,233,"$11,375,000.00",70186.00,3,4,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/70186-duplex-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Penthouse,Telal East,New Cairo,Roya Developments,216,"$16,200,000.00",73169.00,3,3,2028,not finished,2028-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/73169-penthouse-for-sale-in-telal-east
Telal East in New Cairo by Roya Developments,Duplex,Telal East,New Cairo,Roya Developments,233,"$16,355,000.00",73394.00,3,4,2028,not finished,2028-12-31T00:00:00.000Z,https://www.nawy.com/compound/939-telal-east/property/73394-duplex-for-sale-in-telal-east
